Timestamp,Temperature,Humidity,Annotation
2024-02-19 07:35:00,8.53,26.2,0
2024-02-19 07:40:00,10.5,19.7,0
2024-02-19 07:45:00,12.7,17.1,0
2024-02-19 07:50:00,15.2,17.7,0
2024-02-19 07:55:00,17.3,16.4,0
2024-02-19 08:00:00,18.8,15.0,0
2024-02-19 08:05:00,19.8,14.0,0
2024-02-19 08:10:00,21.1,12.5,0
2024-02-19 08:15:00,22.2,11.7,0
2024-02-19 08:20:00,23.3,10.9,0
2024-02-19 08:25:00,24.3,10.4,0
2024-02-19 08:30:00,25.3,9.85,0
2024-02-19 08:35:00,26.2,9.44,0
2024-02-19 08:40:00,27.2,9.15,0
2024-02-19 08:45:00,28.1,8.91,0
2024-02-19 08:50:00,28.8,8.9,0
2024-02-19 08:55:00,29.0,8.94,0
2024-02-19 09:00:00,29.2,8.91,0
2024-02-19 09:05:00,29.2,8.88,0
2024-02-19 09:10:00,29.2,8.95,0
2024-02-19 09:15:00,29.1,9.04,0
2024-02-19 09:20:00,28.9,9.14,0
2024-02-19 09:25:00,28.7,9.28,0
2024-02-19 09:30:00,28.4,9.45,0
2024-02-19 09:35:00,28.2,9.65,0
2024-02-19 09:40:00,28.0,9.83,0
2024-02-19 09:45:00,27.7,9.98,0
2024-02-19 09:50:00,27.5,10.2,0
2024-02-19 09:55:00,27.3,10.4,0
2024-02-19 10:00:00,27.1,10.5,0
2024-02-19 10:05:00,27.0,10.5,0
2024-02-19 10:10:00,26.8,10.7,0
2024-02-19 10:15:00,26.7,10.8,0
2024-02-19 10:20:00,26.6,10.9,0
2024-02-19 10:25:00,26.4,11.1,0
2024-02-19 10:30:00,26.4,11.2,0
2024-02-19 10:35:00,26.3,11.5,0
2024-02-19 10:40:00,26.3,11.9,0
2024-02-19 10:45:00,26.5,12.1,0
2024-02-19 10:50:00,26.7,11.6,0
2024-02-19 10:55:00,26.8,12.0,0
2024-02-19 11:00:00,26.9,12.4,0
2024-02-19 11:05:00,26.9,12.5,0
2024-02-19 11:10:00,26.9,11.8,0
2024-02-19 11:15:00,27.0,11.4,0
2024-02-19 11:20:00,27.1,11.2,0
2024-02-19 11:25:00,27.2,11.0,0
2024-02-19 11:30:00,27.3,10.8,0
2024-02-19 11:35:00,27.5,10.7,0
2024-02-19 11:40:00,27.5,10.6,0
2024-02-19 11:45:00,27.4,10.5,0
2024-02-19 11:50:00,27.3,10.5,0
2024-02-19 11:55:00,27.2,10.4,0
2024-02-19 12:00:00,27.1,10.4,0
2024-02-19 12:05:00,27.0,10.4,0
2024-02-19 12:10:00,27.0,10.4,0
2024-02-19 12:15:00,27.1,10.3,0
2024-02-19 12:20:00,27.3,10.2,0
2024-02-19 12:25:00,27.3,10.2,0
2024-02-19 12:30:00,27.3,10.1,0
2024-02-19 12:35:00,27.2,10.1,0
2024-02-19 12:40:00,27.1,10.1,0
2024-02-19 12:45:00,27.0,10.2,0
2024-02-19 12:50:00,26.8,10.2,0
2024-02-19 12:55:00,26.6,10.2,0
2024-02-19 13:00:00,26.5,10.2,0
2024-02-19 13:05:00,26.3,10.3,0
2024-02-19 13:10:00,26.1,10.4,0
2024-02-19 13:15:00,25.9,10.4,0
2024-02-19 13:20:00,25.7,10.5,0
2024-02-19 13:25:00,25.5,10.6,0
2024-02-19 13:30:00,25.3,11.3,0
2024-02-19 13:35:00,25.1,11.4,0
2024-02-19 13:40:00,25.0,11.4,0
2024-02-19 13:45:00,24.8,11.6,0
2024-02-19 13:50:00,24.6,12.1,0
2024-02-19 13:55:00,24.4,12.1,0
2024-02-19 14:00:00,24.2,12.1,0
2024-02-19 14:05:00,23.9,12.3,0
2024-02-19 14:10:00,23.8,12.5,0
2024-02-19 14:15:00,23.7,12.6,0
2024-02-19 14:20:00,23.7,12.7,0
2024-02-19 14:25:00,23.8,12.9,0
2024-02-19 14:30:00,24.0,12.7,0
2024-02-19 14:35:00,24.3,11.7,0
2024-02-19 14:40:00,24.6,10.9,0
2024-02-19 14:45:00,25.0,10.5,0
2024-02-19 14:50:00,25.4,10.2,0
2024-02-19 14:55:00,25.8,9.93,0
2024-02-19 15:00:00,26.3,10.0,0
2024-02-19 15:05:00,26.7,9.84,0
2024-02-19 15:10:00,27.0,9.71,0
2024-02-19 15:15:00,27.4,9.65,0
2024-02-19 15:20:00,27.6,9.61,0
2024-02-19 15:25:00,27.8,9.61,0
2024-02-19 15:30:00,28.0,9.59,0
2024-02-19 15:35:00,28.1,9.66,0
2024-02-19 15:40:00,28.3,9.66,0
2024-02-19 15:45:00,28.4,9.81,0
2024-02-19 15:50:00,28.6,10.1,0
2024-02-19 15:55:00,28.8,10.3,0
2024-02-19 16:00:00,28.9,10.7,0
2024-02-19 16:05:00,28.9,11.3,0
2024-02-19 16:10:00,28.9,11.9,0
2024-02-19 16:15:00,28.9,12.1,0
2024-02-19 16:20:00,28.8,12.9,0
2024-02-19 16:25:00,28.7,13.1,0
2024-02-19 16:30:00,28.5,12.9,0
2024-02-19 16:35:00,28.4,12.5,0
2024-02-19 16:40:00,28.2,11.3,0
2024-02-19 16:45:00,28.1,10.6,0
2024-02-19 16:50:00,28.0,10.3,0
2024-02-19 16:55:00,27.8,10.0,0
2024-02-19 17:00:00,27.6,9.9,0
2024-02-19 17:05:00,27.4,9.83,0
2024-02-19 17:10:00,27.2,9.82,0
2024-02-19 17:15:00,27.0,9.88,0
2024-02-19 17:20:00,26.7,9.96,0
2024-02-19 17:25:00,26.4,9.93,0
2024-02-19 17:30:00,26.1,9.9,0
2024-02-19 17:35:00,25.7,9.87,0
2024-02-19 17:40:00,25.4,9.81,0
2024-02-19 17:45:00,25.1,9.91,0
2024-02-19 17:50:00,24.9,10.1,0
2024-02-19 17:55:00,24.7,10.2,0
2024-02-19 18:00:00,24.5,10.2,0
2024-02-19 18:05:00,24.3,10.2,0
2024-02-19 18:10:00,24.1,10.1,0
2024-02-19 18:15:00,23.8,10.1,0
2024-02-19 18:20:00,23.6,10.1,0
2024-02-19 18:25:00,23.3,10.2,0
2024-02-19 18:30:00,22.9,10.5,0
2024-02-19 18:35:00,22.6,10.3,0
2024-02-19 18:40:00,22.7,9.99,0
2024-02-19 18:45:00,24.1,9.74,1
2024-02-19 18:50:00,26.6,9.29,1
2024-02-19 18:55:00,30.4,8.26,1
2024-02-19 19:00:00,32.5,7.65,0
2024-02-19 19:05:00,33.3,7.77,0
2024-02-19 19:10:00,33.6,7.89,0
2024-02-19 19:15:00,33.9,8.3,0
2024-02-19 19:20:00,34.2,8.82,0
2024-02-19 19:25:00,34.4,9.31,0
2024-02-19 19:30:00,34.5,9.33,0
2024-02-19 19:35:00,34.5,9.58,0
2024-02-19 19:40:00,34.4,9.98,0
2024-02-19 19:45:00,34.3,9.96,0
2024-02-19 19:50:00,34.2,10.1,0
2024-02-19 19:55:00,34.2,10.3,0
2024-02-19 20:00:00,34.2,10.9,0
2024-02-19 20:05:00,34.1,11.6,0
2024-02-19 20:10:00,34.0,12.1,0
2024-02-19 20:15:00,33.9,12.0,0
2024-02-19 20:20:00,33.7,12.2,0
2024-02-19 20:25:00,33.6,12.4,0
2024-02-19 20:30:00,33.5,12.7,0
2024-02-19 20:35:00,33.4,12.6,0
2024-02-19 20:40:00,33.3,12.9,0
